text,category
Fasting blood sugar is 160 mg/dL,Diabetes
HbA1c reported as 8.2 percent,Diabetes
Sugar level is high at 190 mg/dL,Diabetes
BP recorded as 150/95,Blood Pressure
Blood pressure 140 over 90,Blood Pressure
Systolic 120 diastolic 80 normal,Blood Pressure
ALT 85 U/L indicates liver issue,Liver
AST 70 U/L mildly raised,Liver
Bilirubin 2.0 mg/dL high,Liver
ECG shows irregular heartbeat,Cardiac
LDL cholesterol 180 mg/dL,Cardiac
Chest X-ray shows enlarged heart,Cardiac
General checkup no issues,General
Patient feels fine,General
Routine test normal,General
